"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ANXA2",7.25438918522523e-34,11.417921847036,0.736,0.262,1.26944556352256e-29
"MAL2",1.53977224018041e-25,9.60711667889868,0.727,0.276,2.6944474430917e-21
"PPP1R15A",1.12394970412456e-24,49.8319962042824,0.719,0.312,1.96679958724756e-20
"HMGA1",2.27370337930963e-23,4.37036078774962,0.678,0.263,3.97875354345392e-19
"TRAM1",3.44066366196117e-23,3.12116561067291,0.744,0.371,6.02081734206585e-19
"SPTBN1",4.76902406975334e-20,2.78338333426879,0.719,0.313,8.34531521966138e-16
"PERP",9.95729793936499e-20,13.5244146470404,0.736,0.373,1.74242756640948e-15
"TPT1",4.48713736775942e-19,1.79366791166274,0.744,0.351,7.85204167984221e-15
"MAP1LC3B",7.401675500044e-19,3.92107341155086,0.727,0.387,1.2952191957527e-14
"POLD4",7.95092162748419e-19,3.0719840662294,0.711,0.307,1.39133177559346e-14
"HSPA5",3.19964841995709e-18,77.3939645934053,0.504,0.229,5.5990647700829e-14
"KRT19",1.35402201848862e-17,5.35517757908609,0.645,0.127,2.36940313015324e-13
"TES",2.43800309261382e-17,2.97822331553244,0.636,0.219,4.26626161176493e-13
"CDH1",1.46261606324682e-16,0.690101815642771,0.661,0.319,2.55943184907561e-12
"PABPC1",2.92470594581238e-16,1.9725684633447,0.727,0.381,5.11794293457708e-12
"UBC",5.08851403586323e-16,3.34126149106421,0.752,0.436,8.90439071135706e-12
"S100A11",7.84185705004069e-16,12.03287873311,0.62,0.274,1.37224656518662e-11
"S100A14",1.69450198175321e-15,3.39052634458984,0.587,0.084,2.96520901786995e-11
"CAST",5.31606797664392e-15,0.918428781230131,0.719,0.365,9.3025873523292e-11
"TMSB10",5.74061038282931e-15,9.79099317564923,0.554,0.243,1.0045494108913e-10
"CCND1",7.01017192754813e-15,19.2425674384891,0.579,0.136,1.22670998560165e-10
"KRT7",5.2803169971169e-14,11.8851997598565,0.537,0.132,9.24002671325486e-10
"YWHAZ",7.38882719362266e-14,2.72322502142749,0.653,0.346,1.29297087061203e-09
"C19orf33",2.60560875446281e-13,34.3403429120207,0.463,0.012,4.55955475943448e-09
"TUBB4B",1.1928105135313e-12,1.02095365968351,0.694,0.399,2.08729911762842e-08
"DSG2",2.01667396167786e-12,3.45350157599154,0.587,0.222,3.5289777655401e-08
"MYL12A",2.9083256397716e-12,7.8379965801508,0.612,0.326,5.08927903703633e-08
"SDC1",6.96301108333724e-12,30.6124456675103,0.471,0.054,1.21845730947318e-07
"IQGAP1",8.69051620887219e-12,0.924183236547851,0.661,0.356,1.52075343139055e-07
"S100A16",1.11604647554889e-11,17.6665846879825,0.595,0.178,1.952969727563e-07
"TMBIM6",1.8598436369536e-11,1.7664623500274,0.686,0.446,3.2545403803051e-07
"ERRFI1",2.09311464728074e-11,12.8708567200681,0.545,0.216,3.66274132127657e-07
"GFPT1",2.69795531169539e-11,5.42464085520831,0.645,0.368,4.72115199993577e-07
"EIF4G2",3.01758995356416e-11,2.05334873018737,0.636,0.412,5.28048065974193e-07
"PDIA4",3.22766797351983e-11,14.9238352459088,0.545,0.304,5.64809618686235e-07
"SLPI",4.19236507093361e-11,143.738999732656,0.479,0.043,7.33621963762672e-07
"DAZAP2",4.1934141126222e-11,1.38410303056661,0.669,0.377,7.33805535567758e-07
"TFF1",4.75164617553334e-11,222.967548720339,0.488,0.006,8.3149056425658e-07
