"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MUC13",0,3.27992415422689,0.801,0.148,0,"0","MUC13"
"PDK4",0,2.69199491364366,0.82,0.368,0,"0","PDK4"
"TTR",0,2.59386592995251,1,0.698,0,"0","TTR"
"GCG",0,2.17833088192029,0.995,0.681,0,"0","GCG"
"CLU",0,2.06957026060833,0.991,0.702,0,"0","CLU"
"VGF",0,2.00125014080539,0.963,0.541,0,"0","VGF"
"RGS4",0,1.92935751975519,0.744,0.231,0,"0","RGS4"
"IRX2",0,1.78184397147157,0.749,0.139,0,"0","IRX2"
"GC",0,1.70834215731072,0.794,0.166,0,"0","GC"
"VSTM2L",0,1.69204262916253,0.531,0.094,0,"0","VSTM2L"
"GPX3",0,1.64350762354754,0.983,0.541,0,"0","GPX3"
"CYSTM1",9.88131291682493e-324,1.25645510893548,0.964,0.791,1.98861422451102e-319,"0","CYSTM1"
"KCTD12",8.25577765412973e-318,1.65411141922117,0.569,0.143,1.66147525289361e-313,"0","KCTD12"
"PALLD",1.11593224042354e-317,1.95695189717194,0.746,0.316,2.24581363385237e-313,"0","PALLD"
"TMEM176B",1.97226098451134e-309,1.21857386749204,0.92,0.459,3.96917523132907e-305,"0","TMEM176B"
"F10",1.30858354632316e-303,1.22267853650359,0.54,0.119,2.63352438697535e-299,"0","F10"
"TMEM176A",1.12981889931211e-299,1.21082992995108,0.9,0.439,2.27376053486562e-295,"0","TMEM176A"
"SLC7A2",2.15319676347013e-296,1.49472582795237,0.866,0.501,4.33330848648363e-292,"0","SLC7A2"
"MRC1",1.92678841649604e-277,1.26445840342939,0.292,0.027,3.87766168819828e-273,"0","MRC1"
"IGFBP2",5.52467128542674e-276,1.74378131484273,0.713,0.297,1.11184009619213e-271,"0","IGFBP2"
"SMOC1",1.38819863229858e-274,1.40414332214768,0.676,0.238,2.79374974750088e-270,"0","SMOC1"
"GRIA3",1.81200403210467e-250,1.19917789102213,0.461,0.108,3.64665811461066e-246,"0","GRIA3"
"RNASEK",6.89561790521215e-250,0.884798457030535,0.981,0.93,1.38774310342395e-245,"0","RNASEK"
"CST3",2.58425431483614e-243,0.977675050111716,0.969,0.87,5.20081180860773e-239,"0","CST3"
"SCG5",3.80533761870341e-242,1.06475358132866,0.981,0.647,7.65824195764062e-238,"0","SCG5"
"PCSK2",6.79237196757733e-225,0.856689125159211,0.911,0.497,1.36696485847494e-220,"0","PCSK2"
"FABP5",2.68896778116465e-220,1.11388656494273,0.534,0.159,5.41154765959386e-216,"0","FABP5"
"GNG4",3.61058609293878e-216,1.34426628077923,0.769,0.413,7.2663045120393e-212,"0","GNG4"
"FEV",1.86922327376966e-210,1.0880292091617,0.497,0.135,3.76181183846144e-206,"0","FEV"
"SYT5",3.88231988181323e-210,1.2406776174542,0.559,0.205,7.81316876214912e-206,"0","SYT5"
"CHGA",6.62247109702934e-210,0.78457369841854,0.986,0.641,1.33277230827715e-205,"0","CHGA"
"CALY",7.95000846064458e-207,1.27598952992564,0.59,0.216,1.59993920270472e-202,"0","CALY"
"PAPPA2",5.07643514588054e-204,0.940222724004522,0.494,0.135,1.02163257310846e-199,"0","PAPPA2"
"CD99",5.54681461475994e-202,1.006077510033,0.982,0.795,1.11629644122044e-197,"0","CD99"
"ALDH1A1",1.22244435010097e-200,1.3016218009851,0.864,0.561,2.46016925457821e-196,"0","ALDH1A1"
"LMCD1",6.60942867578551e-196,1.44977505299916,0.538,0.194,1.33014752100183e-191,"0","LMCD1"
"ATP5E",6.27074831687913e-193,0.813274178818666,0.978,0.91,1.26198809877193e-188,"0","ATP5E"
"CAMK2G",2.07577523262211e-183,1.621966248453,0.512,0.196,4.177497655652e-179,"0","CAMK2G"
"NPNT",1.13268891089779e-181,1.01609681457505,0.363,0.085,2.2795364331818e-177,"0","NPNT"
"KLHL41",1.26508886075504e-179,1.17240775115181,0.311,0.061,2.54599133226953e-175,"0","KLHL41"
"PPP2R2B",5.54111053318494e-179,0.868274086945206,0.287,0.051,1.11514849480347e-174,"0","PPP2R2B"
"OAZ1",1.66319480855265e-174,0.798906664060648,0.97,0.911,3.34717955221221e-170,"0","OAZ1"
"HIGD1A",7.1031658099827e-173,1.07207258221125,0.643,0.328,1.42951211925902e-168,"0","HIGD1A"
"AP1S2",8.58062106469913e-166,1.10773908566428,0.413,0.129,1.7268499892707e-161,"0","AP1S2"
"CD63",8.21658601294998e-165,0.646282207269105,0.993,0.975,1.65358793510618e-160,"0","CD63"
"TMEM45B",4.78911980457588e-163,0.918625149270975,0.333,0.078,9.63810360670896e-159,"0","TMEM45B"
"IDS",1.58329296191852e-162,0.899339311320913,0.895,0.66,3.18637708586103e-158,"0","IDS"
"HLA.E",1.73200681045913e-161,1.16670053287243,0.846,0.664,3.485663706049e-157,"0","HLA.E"
"PLD3",8.65758883969862e-159,0.853044062858075,0.903,0.688,1.74233975398935e-154,"0","PLD3"
"FBLL1",5.70808254634946e-158,0.788557418766077,0.329,0.08,1.14875161245283e-153,"0","FBLL1"
"TM4SF4",9.60002778908503e-155,0.598223516741328,0.723,0.302,1.93200559255336e-150,"0","TM4SF4"
"TUBA1B",2.05103111624469e-153,0.717496384600991,0.979,0.925,4.12770012144245e-149,"0","TUBA1B"
"RAB3B",2.86246145498712e-152,0.956028632046353,0.784,0.456,5.76070367816157e-148,"0","RAB3B"
"PAM",1.07012368246574e-151,0.820513693537154,0.927,0.652,2.1536239109623e-147,"0","PAM"
"PCSK1N",2.78580732914477e-145,0.720384702629164,0.997,0.658,5.60643724990385e-141,"0","PCSK1N"
"PLP2",1.17256968252115e-141,0.953733008914675,0.806,0.617,2.35979648607381e-137,"0","PLP2"
"MYL6",4.00921973038504e-141,0.665008519113198,0.969,0.929,8.0685547073999e-137,"0","MYL6"
"CDK5R2",2.10642267149209e-140,0.974060534029231,0.585,0.281,4.23917562637782e-136,"0","CDK5R2"
"SNRPB",3.03229590344234e-137,0.926210266724849,0.76,0.544,6.10249550567772e-133,"0","SNRPB"
"CFL1",1.74775054291624e-132,0.66203248253998,0.951,0.888,3.51734796761894e-128,"0","CFL1"
"EMC10",1.27185766877635e-128,0.695168499552973,0.878,0.669,2.5596135584124e-124,"0","EMC10"
"RHOB",7.67201389540344e-117,1.07937849104664,0.687,0.433,1.54399279644994e-112,"0","RHOB"
"PCBP1",3.5546909882493e-114,0.709431602982457,0.916,0.854,7.15381561385172e-110,"0","PCBP1"
"SPINT2",1.77557809891693e-111,0.551356653438057,0.954,0.815,3.57335092407033e-107,"0","SPINT2"
"COTL1",1.81779449126357e-111,1.0889349261071,0.567,0.301,3.65831141366792e-107,"0","COTL1"
"H1FX",1.18123214370344e-110,0.924267349018355,0.837,0.69,2.37722968920318e-106,"0","H1FX"
"EEF1A2",1.88004850312798e-108,0.851016352363348,0.788,0.54,3.78359761254507e-104,"0","EEF1A2"
"RIIAD1",5.0833208278156e-108,0.676699120867473,0.293,0.087,1.02301831659789e-103,"0","RIIAD1"
"EZR",1.46489665852821e-107,0.909923728317048,0.609,0.357,2.94810452528803e-103,"0","EZR"
"CTSZ",6.26233051684477e-107,0.944771925665782,0.649,0.409,1.26029401651501e-102,"0","CTSZ"
"PEMT",1.92139203053063e-106,0.754563044731411,0.879,0.617,3.86680146144289e-102,"0","PEMT"
"LOXL4",1.7857023931038e-105,1.26670638016331,0.314,0.098,3.5937260661214e-101,"0","LOXL4"
"ELL2",2.01362110638241e-105,0.757338911026229,0.738,0.52,4.0524124765946e-101,"0","ELL2"
"FTL",5.43323297518126e-104,0.630924572805961,0.999,0.991,1.09343813625523e-99,"0","FTL"
"COX8A",1.30811612508299e-101,0.556186010670009,0.944,0.883,2.63258370172951e-97,"0","COX8A"
"SOCS1",2.66256883170161e-101,0.967302735308111,0.303,0.098,5.3584197737995e-97,"0","SOCS1"
"HINT1",1.37983765705648e-100,0.607395132925708,0.941,0.877,2.77692328482617e-96,"0","HINT1"
"GAPDH",4.1680575732303e-100,0.325879849332194,0.996,0.988,8.38821586612597e-96,"0","GAPDH"
"NENF",6.37675979682021e-99,0.698207075549669,0.809,0.651,1.28332290911007e-94,"0","NENF"
"INHBA",6.52707170765199e-99,0.411699550867544,0.393,0.148,1.31357318116496e-94,"0","INHBA"
"WDR83OS",4.86097541181411e-98,0.651758751655748,0.873,0.785,9.7827130162759e-94,"0","WDR83OS"
"ZDHHC14",1.3571676174281e-97,0.791635491899114,0.375,0.154,2.73129983007406e-93,"0","ZDHHC14"
"C2CD4B",3.22206923177771e-94,1.03334480499861,0.664,0.428,6.48441432895265e-90,"0","C2CD4B"
"RHBDD2",3.96731843534726e-94,0.738877640016382,0.736,0.525,7.98422835113636e-90,"0","RHBDD2"
"SCG2",4.59112811862418e-94,0.938385703110953,0.862,0.596,9.23964533873116e-90,"0","SCG2"
"TUBB4B",6.44683380409837e-94,0.691260100812295,0.821,0.66,1.2974253030748e-89,"0","TUBB4B"
"USH1C",1.22462080117241e-93,0.645560603556504,0.339,0.124,2.46454936235948e-89,"0","USH1C"
"FXYD5",3.47270178163812e-93,0.991519203857359,0.584,0.352,6.98881233554672e-89,"0","FXYD5"
"SMIM24",6.73442302670806e-93,0.607257591740572,0.379,0.141,1.355302634125e-88,"0","SMIM24"
"ZNF703",2.18454893945974e-92,0.657734854731248,0.281,0.091,4.39640474066274e-88,"0","ZNF703"
"CHGB",1.22819735532528e-91,0.369986703048106,0.942,0.601,2.47174717759213e-87,"0","CHGB"
"SNRPG",3.75972377296572e-91,0.78293389307898,0.734,0.578,7.56644409309352e-87,"0","SNRPG"
"COX6A1",7.38946894901579e-91,0.607454413729824,0.887,0.801,1.48713062598943e-86,"0","COX6A1"
"COX17",5.43923365001414e-90,0.621709664322868,0.844,0.706,1.09464577206535e-85,"0","COX17"
"FAM96B",1.29871103717848e-89,0.791422658831814,0.655,0.476,2.61365596232169e-85,"0","FAM96B"
"UQCR11",1.75220074813718e-88,0.619508052263142,0.839,0.739,3.52630400562607e-84,"0","UQCR11"
"MALAT1",1.36075646942622e-87,0.484055378118435,0.939,0.825,2.73852239472028e-83,"0","MALAT1"
"ACTB",8.94305550625178e-87,0.587488324786781,0.975,0.955,1.79978992063317e-82,"0","ACTB"
"TUBA1A",1.27488030061151e-85,0.835385079147573,0.898,0.735,2.56569660498066e-81,"0","TUBA1A"
"RPS15",8.03207590734038e-85,0.412712324882375,0.991,0.983,1.61645527635225e-80,"0","RPS15"
"NPTN",8.44353663957058e-85,0.76912893604802,0.584,0.37,1.69926174871358e-80,"0","NPTN"
"GLS",1.15620876449203e-84,0.742973366738116,0.578,0.35,2.32687013854021e-80,"0","GLS"
"YWHAH",3.93137512302531e-84,0.801547699383591,0.739,0.588,7.91189243508843e-80,"0","YWHAH"
"UBA52",8.39484497063211e-83,0.444823305071499,0.982,0.961,1.68946255033971e-78,"0","UBA52"
"STC2",1.77245933394216e-82,0.696110277365191,0.315,0.118,3.5670744095586e-78,"0","STC2"
"EDIL3",5.00068852182939e-82,0.752908382827402,0.416,0.197,1.00638856501817e-77,"0","EDIL3"
"CLIC1",2.12990833020016e-81,0.654214368317869,0.887,0.817,4.28644051452783e-77,"0","CLIC1"
"MCU",1.27992325085568e-80,0.733882346492569,0.285,0.107,2.57584554234705e-76,"0","MCU"
